count,icd_version,code,description,group_order,main_group,fungal_group,organ_system,bodysite,fungal_order,fungal_genus,fungal_species,cat_internal_external,cat_disease_type
333,ICD-11,1F2DY,Other specified nondermatophyte superficial dermatomycoses,10,Dermatomycoses,Nondermatophyte,integumentary,skin nails hair,Chaetothyriales Eurotiales Hypocreales Sordariales,Nonspecific,Nonspecific,external,noninvasive
334,ICD-11,AA03,Otomycosis,12,General Mycoses,Nonspecific Otomycoses,nervous,ear,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
335,ICD-11,1F2F,Phaeohyphomycosis,12,General Mycoses,Pigmented Fungi,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
336,ICD-11,DA042,Sialoadenitis,12,General Mycoses,Nonspecific,digestive,salivary glands,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
337,ICD-11,EA60Y,Skin involvement in other specified fungal infection,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,external,nonspecific
338,ICD-11,EA600,Subcutaneous mycoses,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,internal,invasive
339,ICD-11,CA703,Suberosis,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
340,ICD-11,EA601,Systemic mycoses affecting skin,10,Dermatomycoses,Nonspecific Dermatomycoses,systemic,skin,Nonspecific,Nonspecific,Nonspecific,nonspecific,invasive
341,ICD-11,1F2D4,Tinea nigra,10,Dermatomycoses,Dermatophyte Pigmented,integumentary,skin,Onygenales,Nonspecific,Nonspecific,external,nonspecific
342,ICD-11,1F2D2,White piedra,10,Dermatomycoses,Nondermatophyte,integumentary,hair,Onygenales,Nonspecific,Nonspecific,external,nonspecific
343,ICD-11,1F2E1,Disseminated paracoccidioidomycosis,8,Paracoccidioides,Paracoccidioides,systemic,disseminated,Onygenales,Paracoccidioides,Nonspecific,nonspecific,invasive
344,ICD-11,1F2EY,Other specified paracoccidioidomycosis,8,Paracoccidioides,Paracoccidioides,nonspecific,nonspecific,Onygenales,Paracoccidioides,Nonspecific,nonspecific,nonspecific
345,ICD-11,1F2E,Paracoccidioidomycosis,8,Paracoccidioides,Paracoccidioides,nonspecific,nonspecific,Onygenales,Paracoccidioides,Nonspecific,nonspecific,nonspecific
346,ICD-11,1F2EZ,Paracoccidioidomycosis unspecified,8,Paracoccidioides,Paracoccidioides,nonspecific,nonspecific,Onygenales,Paracoccidioides,Nonspecific,nonspecific,nonspecific
347,ICD-11,1F2E0,Pulmonary paracoccidioidomycosis,8,Paracoccidioides,Paracoccidioides,respiratory,lungs,Onygenales,Paracoccidioides,Nonspecific,internal,nonspecific
348,ICD-11,1F2K,Talaromycosis,11,Other Fungus-specific Mycoses,Penicillium/Talaromyces,nonspecific,nonspecific,Eurotiales,Penicillium Talaromyces,Nonspecific,nonspecific,nonspecific
349,ICD-11,1F2G,Pneumocystosis,11,Other Fungus-specific Mycoses,Pneumocystis,nonspecific,nonspecific,Pneumocystidales,Pneumocystis,Nonspecific,nonspecific,nonspecific
350,ICD-11,1F2GZ,Pneumocystosis unspecified,11,Other Fungus-specific Mycoses,Pneumocystis,nonspecific,nonspecific,Pneumocystidales,Pneumocystis,Nonspecific,nonspecific,nonspecific
351,ICD-11,CA4020,Pneumonia due to pneumocystis,11,Other Fungus-specific Mycoses,Pneumocystis,respiratory,lungs,Pneumocystidales,Pneumocystis,Nonspecific,internal,nonspecific
352,ICD-11,1F2G0,Pulmonary pneumocystosis,11,Other Fungus-specific Mycoses,Pneumocystis,respiratory,lungs,Pneumocystidales,Pneumocystis,Nonspecific,internal,nonspecific
353,ICD-11,1F2J3,Disseminated sporotrichosis,9,Sporothrix,Sporothrix,systemic,disseminated,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,invasive
354,ICD-11,1F2J1,Fixed cutaneous sporotrichosis,9,Sporothrix,Sporothrix,integumentary,skin,Ophiostomatales,Sporothrix,Nonspecific,external,noninvasive
355,ICD-11,1F2J0,Lymphocutaneous sporotrichosis,9,Sporothrix,Sporothrix,lymphatic,lymphatic,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,nonspecific
356,ICD-11,1F2JY,Other specified sporotrichosis,9,Sporothrix,Sporothrix,nonspecific,other,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,nonspecific
357,ICD-11,1F2J2,Pulmonary sporotrichosis,9,Sporothrix,Sporothrix,respiratory,lungs,Ophiostomatales,Sporothrix,Nonspecific,internal,nonspecific
358,ICD-11,1F2J,Sporotrichosis,9,Sporothrix,Sporothrix,nonspecific,nonspecific,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,nonspecific
359,ICD-11,1F2JZ,Sporotrichosis unspecified,9,Sporothrix,Sporothrix,nonspecific,unspecified,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,nonspecific
