count,icd_version,code,description,group_order,main_group,fungal_group,organ_system,bodysite,fungal_order,fungal_genus,fungal_species,cat_internal_external,cat_disease_type
203,ICD-10,B484,Penicillosis,11,Other Fungus-specific Mycoses,Penicillium/Talaromyces,nonspecific,nonspecific,Eurotiales,Penicillium Talaromyces,Nonspecific,nonspecific,nonspecific
204,ICD-10,B59,Pneumocystosis,11,Other Fungus-specific Mycoses,Pneumocystis,nonspecific,nonspecific,Pneumocystidales,Pneumocystis,Nonspecific,nonspecific,nonspecific
205,ICD-10,B4281,Cerebral sporotrichosis,9,Sporothrix,Sporothrix,nervous,brain,Ophiostomatales,Sporothrix,Nonspecific,internal,invasive
206,ICD-10,B427,Disseminated sporotrichosis,9,Sporothrix,Sporothrix,systemic,disseminated,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,invasive
207,ICD-10,B421,Lymphocutaneous sporotrichosis,9,Sporothrix,Sporothrix,lymphatic,lymphatic,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,nonspecific
208,ICD-10,B4289,Other forms of sporotrichosis,9,Sporothrix,Sporothrix,nonspecific,other,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,nonspecific
209,ICD-10,B420,Pulmonary sporotrichosis,9,Sporothrix,Sporothrix,respiratory,lungs,Ophiostomatales,Sporothrix,Nonspecific,internal,nonspecific
210,ICD-10,B4282,Sporotrichosis arthritis,9,Sporothrix,Sporothrix,musculoskeletal,joint,Ophiostomatales,Sporothrix,Nonspecific,internal,invasive
211,ICD-10,B429,Sporotrichosis unspecified,9,Sporothrix,Sporothrix,nonspecific,unspecified,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,nonspecific
212,ICD-11,1F2H,Scedosporiosis,11,Other Fungus-specific Mycoses,Scedosporium,nonspecific,nonspecific,Microascales Onygenales,Scedosporium Pseudallescheria Allescheria,Nonspecific,nonspecific,nonspecific
213,ICD-11,1F20,Aspergillosis,1,Aspergillus,Aspergillus,nonspecific,nonspecific,Eurotiales,Aspergillus,Nonspecific,nonspecific,nonspecific
214,ICD-11,1F20Z,Aspergillosis unspecified,1,Aspergillus,Aspergillus,nonspecific,unspecified,Eurotiales,Aspergillus,Nonspecific,nonspecific,nonspecific
215,ICD-11,1F2014,Aspergillus bronchitis,1,Aspergillus,Aspergillus,respiratory,lungs,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
216,ICD-11,CA824,Aspergillus induced allergic or hypersensitivity conditions,1,Aspergillus,Aspergillus,immune,lungs,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
217,ICD-11,1F2010,Aspergillus otomycosis,1,Aspergillus,Aspergillus,nervous,ear,Eurotiales,Aspergillus,Nonspecific,nonspecific,nonspecific
218,ICD-11,1F2011,Chronic aspergillosis of the paranasal sinuses,1,Aspergillus,Aspergillus,respiratory,upper respiratory,Eurotiales,Aspergillus,Nonspecific,internal,chronic
219,ICD-11,1F2012,Chronic pulmonary aspergillosis,1,Aspergillus,Aspergillus,respiratory,lungs,Eurotiales,Aspergillus,Nonspecific,internal,chronic
220,ICD-11,1F2002,Disseminated aspergillosis,1,Aspergillus,Aspergillus,systemic,disseminated,Eurotiales,Aspergillus,Nonspecific,nonspecific,invasive
221,ICD-11,1F200,Invasive aspergillosis,1,Aspergillus,Aspergillus,nonspecific,nonspecific,Eurotiales,Aspergillus,Nonspecific,nonspecific,invasive
222,ICD-11,1F200Y,Invasive aspergillosis of other specified site,1,Aspergillus,Aspergillus,nonspecific,other,Eurotiales,Aspergillus,Nonspecific,nonspecific,invasive
223,ICD-11,1F2000,Invasive aspergillosis of the digestive tract,1,Aspergillus,Aspergillus,digestive,gastrointestinal,Eurotiales,Aspergillus,Nonspecific,internal,invasive
224,ICD-11,1F200Z,Invasive aspergillosis unspecified,1,Aspergillus,Aspergillus,nonspecific,unspecified,Eurotiales,Aspergillus,Nonspecific,nonspecific,invasive
225,ICD-11,1F2001,Invasive cerebral aspergillosis,1,Aspergillus,Aspergillus,nervous,brain,Eurotiales,Aspergillus,Nonspecific,internal,invasive
226,ICD-11,KA631,Neonatal aspergillosis,1,Aspergillus,Aspergillus,pediatric,nonspecific,Eurotiales,Aspergillus,Nonspecific,nonspecific,nonspecific
227,ICD-11,1F201,Noninvasive aspergillosis,1,Aspergillus,Aspergillus,nonspecific,nonspecific,Eurotiales,Aspergillus,Nonspecific,nonspecific,noninvasive
228,ICD-11,1F201Z,Noninvasive aspergillosis unspecified,1,Aspergillus,Aspergillus,nonspecific,unspecified,Eurotiales,Aspergillus,Nonspecific,nonspecific,noninvasive
229,ICD-11,1F2015,Obstructing aspergillus tracheobronchitis,1,Aspergillus,Aspergillus,respiratory,lungs,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
230,ICD-11,1F201Y,Other specified noninvasive aspergillosis,1,Aspergillus,Aspergillus,nonspecific,nonspecific,Eurotiales,Aspergillus,Nonspecific,nonspecific,noninvasive
231,ICD-11,1F2013,Tonsillar aspergillosis,1,Aspergillus,Aspergillus,lymphatic,tonsils,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
232,ICD-11,1F22,Blastomycosis,2,Blastomyces,Blastomyces,nonspecific,nonspecific,Onygenales,Blastomyces,Nonspecific,nonspecific,nonspecific
233,ICD-11,1F2311,Candida balanoposthitis,3,Candida,Candida,genitourinary,penis,Saccharomycetales,Candida,Nonspecific,external,noninvasive
234,ICD-11,1F2330,Candida meningitis,3,Candida,Candida,nervous,brain,Saccharomycetales,Candida,Nonspecific,internal,invasive
