code,description
S3082AS,blister nonthermal of flank sequela
S3084AA,external constriction of flank initial encounter
S3084AD,external constriction of flank subsequent encounter
S3084AS,external constriction of flank sequela
S3085AA,superficial foreign body of flank initial encounter
S3085AD,superficial foreign body of flank subsequent encounter
S3085AS,superficial foreign body of flank sequela
S3086AA,insect bite nonvenomous of flank initial encounter
S3086AD,insect bite nonvenomous of flank subsequent encounter
S3086AS,insect bite nonvenomous of flank sequela
S3087AA,other superficial bite of flank initial encounter
S3087AD,other superficial bite of flank subsequent encounter
S3087AS,other superficial bite of flank sequela
S309AXA,unspecified superficial injury of flank initial encounter
S309AXD,unspecified superficial injury of flank subsequent encounter
S309AXS,unspecified superficial injury of flank sequela
S31106A,unspecified open wound of abdominal wall right flank without penetration into peritoneal cavity initial encounter
S31106D,unspecified open wound of abdominal wall right flank without penetration into peritoneal cavity subsequent encounter
S31106S,unspecified open wound of abdominal wall right flank without penetration into peritoneal cavity sequela
S31107A,unspecified open wound of abdominal wall left flank without penetration into peritoneal cavity initial encounter
S31107D,unspecified open wound of abdominal wall left flank without penetration into peritoneal cavity subsequent encounter
S31107S,unspecified open wound of abdominal wall left flank without penetration into peritoneal cavity sequela
S3110AA,unspecified open wound of abdominal wall unspecified flank without penetration into peritoneal cavity initial encounter
S3110AD,unspecified open wound of abdominal wall unspecified flank without penetration into peritoneal cavity subsequent encounter
S3110AS,unspecified open wound of abdominal wall unspecified flank without penetration into peritoneal cavity sequela
S31116A,laceration without foreign body of abdominal wall right flank without penetration into peritoneal cavity initial encounter
S31116D,laceration without foreign body of abdominal wall right flank without penetration into peritoneal cavity subsequent encounter
S31116S,laceration without foreign body of abdominal wall right flank without penetration into peritoneal cavity sequela
S31117A,laceration without foreign body of abdominal wall left flank without penetration into peritoneal cavity initial encounter
S31117D,laceration without foreign body of abdominal wall left flank without penetration into peritoneal cavity subsequent encounter
S31117S,laceration without foreign body of abdominal wall left flank without penetration into peritoneal cavity sequela
S3111AA,laceration without foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity initial encounter
S3111AD,laceration without foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity subsequent encounter
S3111AS,laceration without foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity sequela
S31126A,laceration with foreign body of abdominal wall right flank without penetration into peritoneal cavity initial encounter
S31126D,laceration with foreign body of abdominal wall right flank without penetration into peritoneal cavity subsequent encounter
S31126S,laceration with foreign body of abdominal wall right flank without penetration into peritoneal cavity sequela
S31127A,laceration with foreign body of abdominal wall left flank without penetration into peritoneal cavity initial encounter
S31127D,laceration with foreign body of abdominal wall left flank without penetration into peritoneal cavity subsequent encounter
S31127S,laceration with foreign body of abdominal wall left flank without penetration into peritoneal cavity sequela
S3112AA,laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity initial encounter
S3112AD,laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity subsequent encounter
S3112AS,laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity sequela
S31136A,puncture wound of abdominal wall without foreign body right flank without penetration into peritoneal cavity initial encounter
S31136D,puncture wound of abdominal wall without foreign body right flank without penetration into peritoneal cavity subsequent encounter
S31136S,puncture wound of abdominal wall without foreign body right flank without penetration into peritoneal cavity sequela
S31137A,puncture wound of abdominal wall without foreign body left flank without penetration into peritoneal cavity initial encounter
S31137D,puncture wound of abdominal wall without foreign body left flank without penetration into peritoneal cavity subsequent encounter
S31137S,puncture wound of abdominal wall without foreign body left flank without penetration into peritoneal cavity sequela
S3113AA,puncture wound of abdominal wall without foreign body unspecified flank without penetration into peritoneal cavity initial encounter
S3113AD,puncture wound of abdominal wall without foreign body unspecified flank without penetration into peritoneal cavity subsequent encounter
S3113AS,puncture wound of abdominal wall without foreign body unspecified flank without penetration into peritoneal cavity sequela
S31146A,puncture wound of abdominal wall with foreign body right flank without penetration into peritoneal cavity initial encounter
S31146D,puncture wound of abdominal wall with foreign body right flank without penetration into peritoneal cavity subsequent encounter
S31146S,puncture wound of abdominal wall with foreign body right flank without penetration into peritoneal cavity sequela
S31147A,puncture wound of abdominal wall with foreign body left flank without penetration into peritoneal cavity initial encounter
S31147D,puncture wound of abdominal wall with foreign body left flank without penetration into peritoneal cavity subsequent encounter
S31147S,puncture wound of abdominal wall with foreign body left flank without penetration into peritoneal cavity sequela
S3114AA,puncture wound of abdominal wall with foreign body unspecified flank without penetration into peritoneal cavity initial encounter
S3114AD,puncture wound of abdominal wall with foreign body unspecified flank without penetration into peritoneal cavity subsequent encounter
S3114AS,puncture wound of abdominal wall with foreign body unspecified flank without penetration into peritoneal cavity sequela
S31156A,open bite of abdominal wall right flank without penetration into peritoneal cavity initial encounter
