code,description
B0821,exanthema subitum sixth disease due to human herpesvirus 6
B0822,exanthema subitum sixth disease due to human herpesvirus 7
B083,erythema infectiosum fifth disease
B084,enteroviral vesicular stomatitis with exanthem
B085,enteroviral vesicular pharyngitis
B0860,parapoxvirus infection unspecified
B0861,bovine stomatitis
B0862,sealpox
B0869,other parapoxvirus infections
B0870,yatapoxvirus infection unspecified
B0871,tanapox virus disease
B0872,yaba pox virus disease
B0879,other yatapoxvirus infections
B088,other specified viral infections characterized by skin and mucous membrane lesions
B09,unspecified viral infection characterized by skin and mucous membrane lesions
B1001,human herpesvirus 6 encephalitis
B1009,other human herpesvirus encephalitis
B1081,human herpesvirus 6 infection
B1082,human herpesvirus 7 infection
B1089,other human herpesvirus infection
B150,hepatitis a with hepatic coma
B159,hepatitis a without hepatic coma
B160,acute hepatitis b with deltaagent with hepatic coma
B161,acute hepatitis b with deltaagent without hepatic coma
B162,acute hepatitis b without deltaagent with hepatic coma
B169,acute hepatitis b without deltaagent and without hepatic coma
B170,acute deltasuper infection of hepatitis b carrier
B1710,acute hepatitis c without hepatic coma
B1711,acute hepatitis c with hepatic coma
B172,acute hepatitis e
B178,other specified acute viral hepatitis
B179,acute viral hepatitis unspecified
B180,chronic viral hepatitis b with deltaagent
B181,chronic viral hepatitis b without deltaagent
B182,chronic viral hepatitis c
B188,other chronic viral hepatitis
B189,chronic viral hepatitis unspecified
B190,unspecified viral hepatitis with hepatic coma
B1910,unspecified viral hepatitis b without hepatic coma
B1911,unspecified viral hepatitis b with hepatic coma
B1920,unspecified viral hepatitis c without hepatic coma
B1921,unspecified viral hepatitis c with hepatic coma
B199,unspecified viral hepatitis without hepatic coma
B20,human immunodeficiency virus hiv disease
B250,cytomegaloviral pneumonitis
B251,cytomegaloviral hepatitis
B252,cytomegaloviral pancreatitis
B258,other cytomegaloviral diseases
B259,cytomegaloviral disease unspecified
B260,mumps orchitis
B261,mumps meningitis
B262,mumps encephalitis
B263,mumps pancreatitis
B2681,mumps hepatitis
B2682,mumps myocarditis
B2683,mumps nephritis
B2684,mumps polyneuropathy
B2685,mumps arthritis
B2689,other mumps complications
B269,mumps without complication
B2700,gammaherpesviral mononucleosis without complication
B2701,gammaherpesviral mononucleosis with polyneuropathy
B2702,gammaherpesviral mononucleosis with meningitis
B2709,gammaherpesviral mononucleosis with other complications
B2710,cytomegaloviral mononucleosis without complications
B2711,cytomegaloviral mononucleosis with polyneuropathy
B2712,cytomegaloviral mononucleosis with meningitis
B2719,cytomegaloviral mononucleosis with other complication
B2780,other infectious mononucleosis without complication
B2781,other infectious mononucleosis with polyneuropathy
B2782,other infectious mononucleosis with meningitis
B2789,other infectious mononucleosis with other complication
B2790,infectious mononucleosis unspecified without complication
B2791,infectious mononucleosis unspecified with polyneuropathy
B2792,infectious mononucleosis unspecified with meningitis
B2799,infectious mononucleosis unspecified with other complication
B300,keratoconjunctivitis due to adenovirus
B301,conjunctivitis due to adenovirus
B302,viral pharyngoconjunctivitis
B303,acute epidemic hemorrhagic conjunctivitis enteroviral
B308,other viral conjunctivitis
B309,viral conjunctivitis unspecified
B330,epidemic myalgia
B331,ross river disease
B3320,viral carditis unspecified
B3321,viral endocarditis
B3322,viral myocarditis
B3323,viral pericarditis
B3324,viral cardiomyopathy
B333,retrovirus infections not elsewhere classified
